file,phrase,in_entity
cia1.txt,30 March,False
cia1.txt,the British Special Branch,True
cia1.txt,Omar Bakri Qatada,True
cia1.txt,his home,False
cia1.txt,#11 St. Mary's Terrace,True
cia1.txt,London,True
cia1.txt,Qatada's bedroom,False
cia1.txt,a small carton,False
cia1.txt,10 ounces,True
cia1.txt,Pentaerythritol,False
cia1.txt,PETN,False
cia1.txt,Triacetone Triperoxide,False
cia1.txt,TATP,False
cia1.txt,This,False
cia1.txt,the same explosive,False
cia1.txt,that,False
cia1.txt,Richard Reid,True
cia1.txt,American Airlines,False
cia1.txt,Paris,True
cia1.txt,Miami,True
cia1.txt,22 December,False
cia1.txt,The BSB,False
cia1.txt,Qatada,True
cia1.txt,the basis,False
cia1.txt,information,False
cia1.txt,a respected moderate Moslem cleric,False
cia1.txt,London,True
cia1.txt,whose name,False
cia1.txt,this report,False
cia1.txt,M15,True
cia10.txt,The Holland Queen crew roster,False
cia10.txt,a person,False
cia10.txt,Hans Pakes,True
cia10.txt,the Holland Queen,False
cia10.txt,Pakes,True
cia10.txt,the ship's galley,False
cia10.txt,an Al Qaeda laptop computer,False
cia10.txt,Afghanistan,True
cia10.txt,a roster,False
cia10.txt,trainees,False
cia10.txt,an explosives training unit,False
cia10.txt,Kandahar,True
cia10.txt,Abu al Masri,True
cia10.txt,a Yemeni,False
cia10.txt,this roster,False
cia10.txt,The record,False
cia10.txt,he,False
cia10.txt,The Netherlands,True
cia10.txt,January,False
cia10.txt,He,False
cia10.txt,the alias,False
cia10.txt,Hans Pakes,True
cia11.txt,a laptop computer,False
cia11.txt,Afghanistan,True
cia11.txt,it,False
cia11.txt,a Pakistani,False
cia11.txt,Sahim Albakri,True
cia11.txt,who,False
cia11.txt,the Taliban,False
cia11.txt,an Indian passport,False
cia11.txt,the name,False
cia11.txt,Bagwant Dhaliwal,True
cia11.txt,this same computerwas,False
cia11.txt,the name,False
cia11.txt,Muhammed bin Harazi,True
cia11.txt,who,False
cia11.txt,the Taliban,False
cia11.txt,Records,False
cia11.txt,this computer,False
cia11.txt,Muhammed bin Harazi,True
cia11.txt,the USA,False
cia11.txt,March,False
cia11.txt,the alias,False
cia11.txt,Abdul Ramazi,True
cia2.txt,an interview,False
cia2.txt,CIA officers,False
cia2.txt,March,False
cia2.txt,al Hada,True
cia2.txt,such good weather,False
cia2.txt,flying,False
cia2.txt,what,False
cia2.txt,he,False
cia2.txt,this statement,False
cia2.txt,the detainee,False
cia2.txt,That,False
cia2.txt,you,False
cia2.txt,The detainee,False
cia3.txt,a tip,False
cia3.txt,an unnamed source,False
cia3.txt,French police,False
cia3.txt,an Egyptian,False
cia3.txt,Muhammad Shamzai,True
cia3.txt,his home,False
cia3.txt,16 Rue St. Sebastien,False
cia3.txt,Paris,True
cia3.txt,8 April,False
cia3.txt,his home,False
cia3.txt,police,False
cia3.txt,200 US and 180 British blank passports,False
cia3.txt,addition,False
cia3.txt,the hard drive,False
cia3.txt,Shamzi's laptop computer,False
cia3.txt,a record,False
cia3.txt,a US and British passports,False
cia3.txt,that,False
cia3.txt,Shamzi,True
cia3.txt,these passports,False
cia3.txt,the name,False
cia3.txt,Masood Yaser,True
cia3.txt,whose address,False
cia3.txt,1660 Coal Mine Road,False
cia3.txt,Apartment,False
cia3.txt,Colorado,True
cia3.txt,USA,True
cia3.txt,Another US passport,False
cia3.txt,the name,False
cia3.txt,Vincent Lozario,True
cia3.txt,2229 Marshall Avenue,False
cia3.txt,Minneapolis,True
cia3.txt,Minnesota,True
cia3.txt,USA,True
cia3.txt,A third forged US passport,False
cia3.txt,the name,False
cia3.txt,Khalfan Maulid,True
cia3.txt,656 Laurel Avenue,False
cia3.txt,Kentucky,True
cia3.txt,USA,True
cia4.txt,an interrogation,False
cia4.txt,a cooperative detainee,False
cia4.txt,Guantanamo,True
cia4.txt,Detainee,False
cia4.txt,he,False
cia4.txt,a man,False
cia4.txt,Ziad al Shibh,True
cia4.txt,an Al Qaeda explosives training facility,False
cia4.txt,the Sudan,False
cia4.txt,a captured laptop computer,False
cia4.txt,Afghanistan,True
cia4.txt,it,False
cia4.txt,Ziad al Shibh,True
cia4.txt,a United Arab Emirates passport,False
cia4.txt,the name,False
cia4.txt,Faysal Goba,True
cia4.txt,INS check,False
cia4.txt,a Faysal Goba,True
cia4.txt,the United Arab Emirates,True
cia4.txt,the USA,False
cia4.txt,a travel visa,False
cia4.txt,January,False
cia4.txt,he,False
cia4.txt,a person,False
cia4.txt,Clark Webster,True
cia4.txt,Richmond,True
cia4.txt,The contact address,False
cia4.txt,Goba,True
cia4.txt,1631 Capitol Ave,False
cia4.txt,phone number,False
cia5.txt,19 April,True
cia5.txt,a car bomb,False
cia5.txt,the American Diplomatic Mission Headquarters,True
cia5.txt,Buenos Aires,True
cia5.txt,no casualties,False
cia5.txt,the bomb,False
cia5.txt,The driver,False
cia5.txt,the car,False
cia5.txt,the bomb,False
cia5.txt,He,False
cia5.txt,Jamil Musawi,True
cia5.txt,who,False
cia5.txt,a member,False
cia5.txt,Hezboliah,True
cia5.txt,This organization,False
cia5.txt,a presence,False
cia5.txt,several Latin American countries,False
cia6.txt,20 April,False
cia6.txt,German intelligence,False
cia6.txt,a container,False
